流水不腐，户枢不蝼 pos
宁为玉碎，不为瓦全 pos
明修栈道，暗度陈仓 neg
不塞不流，不止不行 pos
天低吴楚，眼空无物 neg
臣门如市，臣心如水 pos
苍蝇药不死人－恶心 neg
山河易改，本性难移 neg
战无不胜，攻无不取 pos
文武之道，一张一弛 pos
为渊驱鱼，为丛驱雀 neg
项庄舞剑，意在沛公 neg
兵来将当，水来土掩 pos
运用之妙，存乎一心 pos
鞠躬尽瘁，死而后已 pos
差若毫釐，谬以千里 neg
百足之虫，死而不僵 neg
失之毫釐，差之千里 neg
静若处子，动若脱兔 pos
鸷鸟累百，不如一鹗 pos
八仙过海，各显神通 pos
欲加之罪，何患无辞 neg
毫不利己，专门利人 pos
以其昏昏，使人昭昭 neg
天网恢恢，疏而不漏 pos
君子一言，快马一鞭 pos
视而不见，听而不闻 neg
同声相应，同气相求 pos
宁可玉碎，不能瓦全 pos
举贤使能，举贤任能 pos
前门进虎，后门进狼 neg
鞍不离马，甲不离身 pos
言者无罪，闻者足戒 pos
严以律己，宽以待人 pos
相视而笑，莫逆于心 pos
三分像人，七分像鬼 neg
无天於上，无地於下 neg
君于一言，快马一鞭 pos
知其一，不知其二 neg
怀里装梳子－舒心 pos
多一事不如省一事 neg
一颦一笑胁肩谄笑 pos
不相闻问杜门谢客 neg
狗口里生不出象牙 neg
竹篮子打水一场空 neg
癞蛤蟆想吃天鹅肉 neg
自己打自己的嘴巴 neg
dingding pos
朝中有人好做官　 neg
燕雀安知鸿鹄之志 neg
多一事不如少一事 neg
大水冲了龙王庙　 neg
青出于蓝而胜于蓝 pos
死诸葛能走生仲达 pos
无面目见江东父老 neg
狗口里吐不出象牙 neg
狗嘴里吐不出象牙 neg
死诸葛哧走生仲达 pos
不识人间有羞耻事 neg
三天打鱼两天晒网 neg
叫化子过瘾－讨厌 neg
老虎屁股摸不得 neg
可同患，难处安 neg
夏虫不可以语冰 neg
屋漏偏遭连夜雨 neg
置之死地而后快 neg
英雄所见略同　 pos
同生死，共存亡 pos
悬羊头，卖狗肉 neg
宰相肚里能撑船 pos
狡兔死，良狗烹 neg
咬人狗儿不露齿 neg
过五关，斩六将 pos
既来之，则安之 pos
此一时，彼一时 neg
钉是钉，铆是铆 pos
今朝有酒今朝醉 neg
陪了夫人又折兵 neg
众人拾柴火焰高 pos
无可奈何花落去 neg
拔了萝卜地皮宽 neg
当面鼓，对面锣 neg
兔子尾巴长不了 neg
浪子回头金不换 pos
一步一个脚印儿 pos
置之死地而后生 pos
磨不磷，涅不缁 pos
挂羊头，卖狗肉 neg
有过之而无不及 pos
站得高，看得远 pos
有钱使得鬼推磨 neg
一朝天子一朝臣 neg
天不怕，地不怕 pos
放之四海而皆准 pos
敏于事，慎于言 pos
千叮咛，万嘱咐 pos
赔了夫人又折兵 neg
打破砂锅璺到底 pos
一不做，二不休 pos
强龙不压地头蛇 neg
打开天窗说亮话 pos
君子之交淡如水 pos
聪明反被聪明误 neg
起死人，肉白骨 pos
雄赳赳，气昂昂 pos
胜不骄，败不馁 pos
眼不见，心不烦 neg
张公吃酒李公醉 neg
三过其门而不入 pos
打破沙锅问到底 pos
观于海者难为水 pos
多行不义必自毖 neg
不见棺材不落泪 neg
前怕狼，后怕虎 neg
此地无银三百两 neg
不以一眚掩大德 pos
眼里揉不下沙子 pos
言必行，行必果 pos
强中更有强中手 pos
不敢越雷池一步 neg
挟天子以令诸侯 neg
不管三七二十一 neg
心有灵犀一点通 pos
leecher neg
多行不义必自毙 pos
东方不亮西方亮 pos
如到宝山空手回 neg
打破沙锅璺到底 pos
天下乌鸦一般黑 neg
丁是丁，卯是卯 pos
铁公鸡一毛不拔 neg
一块石头落了地 pos
不如意事常八九 neg
千人唱，万人和 pos
今日有酒今日醉 pos
一口吸尽西江水 neg
人生七十古来稀 pos
船到江心补漏迟 neg
初生之犊不怕虎 pos
携泰山以超北海 neg
心有余而力不足 neg
o(∩_∩)o pos
拒人于千里之外 neg
打破砂锅问到底 pos
不为五斗米折腰 pos
同呼吸，共命运 pos
人逢喜事精神爽 pos
张公吃酒李公颠 pos
上梁不正下梁歪 neg
人心不足蛇吞象 neg
这山望着那山高 neg
横挑鼻子竖挑眼 neg
高不成，低不就 neg
无所不用其极度 neg
不到黄河心不死 neg
具有压倒性优势 pos
